git_commit,timestamp,gpu_name,cuda_driver_api_version,cuda_runtime_version,kernel_name,n,dtype,block,first_stage_grid,warmup_count,iteration_count,group_count,min_us,median_us,p95_us,stddev_us,lower_bound_bandwidth_gbps,first_stage_partial_count,kernel_launch_count,static_shared_memory_bytes,gpu_result,cpu_double_reference,max_abs_error,normalized_error,tolerance
c9e2667,2026-08-23T17:58:47Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1,FP32,256,1,20,100,5,3.00032,3.00032,3.01875,0.00819206,0.00133319,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
c9e2667,2026-08-23T17:58:47Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,1,FP32,256,1,20,100,5,2.41664,2.42688,2.4617,0.0176477,0.00164821,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
c9e2667,2026-08-23T17:58:47Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,1,FP32,256,1,20,100,5,2.38592,2.4064,2.41664,0.0119418,0.00166223,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
c9e2667,2026-08-23T17:58:47Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,1,FP32,256,1,20,100,5,2.46784,2.47808,2.51904,0.0220577,0.00161415,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
c9e2667,2026-08-23T17:58:48Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,31,FP32,256,1,20,100,5,2.9696,2.97984,2.97984,0.00409603,0.041613,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
c9e2667,2026-08-23T17:58:48Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,31,FP32,256,1,20,100,5,2.44736,2.46784,2.48627,0.0144816,0.0502464,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
c9e2667,2026-08-23T17:58:48Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,31,FP32,256,1,20,100,5,2.38592,2.4064,2.44122,0.0210855,0.0515293,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
c9e2667,2026-08-23T17:58:48Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,31,FP32,256,1,20,100,5,2.46784,2.47808,2.54771,0.0332761,0.0500387,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
c9e2667,2026-08-23T17:58:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,32,FP32,256,1,20,100,5,2.68288,2.69312,2.71155,0.0104429,0.0475285,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
c9e2667,2026-08-23T17:58:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,32,FP32,256,1,20,100,5,2.41664,2.44736,2.46374,0.016638,0.0523013,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
c9e2667,2026-08-23T17:58:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,32,FP32,256,1,20,100,5,2.38592,2.41664,2.47398,0.0358254,0.0529661,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
c9e2667,2026-08-23T17:58:50Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,32,FP32,256,1,20,100,5,2.44768,2.46784,2.51699,0.027088,0.0518672,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
c9e2667,2026-08-23T17:58:50Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,33,FP32,256,1,20,100,5,2.6112,2.6112,2.62963,0.00819206,0.0505515,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
c9e2667,2026-08-23T17:58:50Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,33,FP32,256,1,20,100,5,2.43712,2.46784,2.49242,0.0198561,0.0534881,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
c9e2667,2026-08-23T17:58:50Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,33,FP32,256,1,20,100,5,2.41664,2.44736,2.48832,0.0270149,0.0539357,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
c9e2667,2026-08-23T17:58:51Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,33,FP32,256,1,20,100,5,2.46784,2.47808,2.51277,0.0176046,0.053267,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
c9e2667,2026-08-23T17:58:51Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,255,FP32,256,1,20,100,5,2.6112,2.62144,2.62963,0.00647639,0.389099,1,1,1024,2.6085,2.6085,1.75278e-08,1.42917e-10,0.000623214
c9e2667,2026-08-23T17:58:51Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,255,FP32,256,1,20,100,5,2.46784,2.47808,2.52518,0.0230289,0.411609,1,1,1024,2.6085,2.6085,4.59309e-07,3.7451e-09,0.000623214
c9e2667,2026-08-23T17:58:51Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,255,FP32,256,1,20,100,5,2.42688,2.43712,2.4576,0.0138902,0.418527,1,1,1024,2.6085,2.6085,4.59309e-07,3.7451e-09,0.000623214
c9e2667,2026-08-23T17:58:52Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,255,FP32,256,1,20,100,5,2.4576,2.46784,2.47603,0.00647635,0.413317,1,1,1024,2.6085,2.6085,4.59309e-07,3.7451e-09,0.000623214
c9e2667,2026-08-23T17:58:52Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,256,FP32,256,1,20,100,5,2.7648,2.7648,2.77504,0.00501659,0.37037,1,1,1024,3.2473,3.2473,6.13574e-07,4.97701e-09,0.000626408
c9e2667,2026-08-23T17:58:52Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,256,FP32,256,1,20,100,5,2.41664,2.42688,2.45146,0.0138902,0.421941,1,1,1024,3.2473,3.2473,3.401e-07,2.75872e-09,0.000626408
c9e2667,2026-08-23T17:58:52Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,256,FP32,256,1,20,100,5,2.4576,2.47808,2.52928,0.0285253,0.413223,1,1,1024,3.2473,3.2473,3.401e-07,2.75872e-09,0.000626408
c9e2667,2026-08-23T17:58:53Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,256,FP32,256,1,20,100,5,2.37568,2.39616,2.4576,0.0357081,0.42735,1,1,1024,3.2473,3.2473,3.401e-07,2.75872e-09,0.000626408
c9e2667,2026-08-23T17:58:53Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,257,FP32,256,2,20,100,5,5.19168,5.20192,5.22035,0.0104426,0.197619,2,2,1024,3.5153,3.5153,7.32784e-07,5.93108e-09,0.000627748
c9e2667,2026-08-23T17:58:53Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,257,FP32,256,2,20,100,5,4.80256,4.93568,4.97459,0.0623212,0.208279,2,2,1024,3.5153,3.5153,2.20891e-07,1.78787e-09,0.000627748
c9e2667,2026-08-23T17:58:53Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,257,FP32,256,1,20,100,5,2.4576,2.48768,2.54157,0.0313629,0.413236,1,1,1024,3.5153,3.5153,6.97728e-07,5.64735e-09,0.000627748
c9e2667,2026-08-23T17:58:54Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,257,FP32,256,1,20,100,5,2.4064,2.44736,2.47398,0.0263866,0.420044,1,1,1024,3.5153,3.5153,6.97728e-07,5.64735e-09,0.000627748
c9e2667,2026-08-23T17:58:54Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,511,FP32,256,2,20,100,5,5.2224,5.23264,5.25107,0.0104429,0.390625,2,2,1024,-7.2296,-7.2296,1.76236e-06,7.1191e-09,0.00124777
c9e2667,2026-08-23T17:58:54Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,511,FP32,256,2,20,100,5,4.88448,4.89472,5.00122,0.0554854,0.417593,2,2,1024,-7.2296,-7.2296,1.09866e-06,4.43807e-09,0.00124777
c9e2667,2026-08-23T17:58:54Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,511,FP32,256,1,20,100,5,3.16416,3.18464,3.25837,0.0379848,0.641831,1,1,1024,-7.2296,-7.2296,3.31849e-07,1.34051e-09,0.00124777
c9e2667,2026-08-23T17:58:55Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,511,FP32,256,1,20,100,5,2.43712,2.4576,2.48627,0.0189924,0.831706,1,1,1024,-7.2296,-7.2296,3.31849e-07,1.34051e-09,0.00124777
c9e2667,2026-08-23T17:58:55Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,512,FP32,256,2,20,100,5,5.91872,5.92896,5.9392,0.00766297,0.345423,2,2,1024,-8.1998,-8.1998,1.70276e-06,6.85147e-09,0.00125262
c9e2667,2026-08-23T17:58:55Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,512,FP32,256,2,20,100,5,4.78208,4.78208,4.82918,0.0210855,0.428266,2,2,1024,-8.1998,-8.1998,2.04593e-07,8.2323e-10,0.00125262
c9e2667,2026-08-23T17:58:55Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,512,FP32,256,1,20,100,5,2.44736,2.4576,2.46579,0.00766291,0.833333,1,1,1024,-8.1998,-8.1998,2.04593e-07,8.2323e-10,0.00125262
c9e2667,2026-08-23T17:58:56Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,512,FP32,256,1,20,100,5,2.47808,2.47808,2.5047,0.0119418,0.826446,1,1,1024,-8.1998,-8.1998,2.04593e-07,8.2323e-10,0.00125262
c9e2667,2026-08-23T17:58:56Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,513,FP32,256,3,20,100,5,5.80608,5.81632,5.83475,0.0104427,0.3528,3,2,1024,-7.3206,-7.3206,1.70276e-06,6.82732e-09,0.00125702
c9e2667,2026-08-23T17:58:56Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,513,FP32,256,3,20,100,5,4.74112,4.74112,4.78618,0.0200662,0.432809,3,2,1024,-7.3206,-7.3206,6.8143e-07,2.73224e-09,0.00125702
c9e2667,2026-08-23T17:58:56Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,513,FP32,256,2,20,100,5,4.78208,4.78208,4.85786,0.034024,0.429102,2,2,1024,-7.3206,-7.3206,2.04593e-07,8.20328e-10,0.00125702
c9e2667,2026-08-23T17:58:57Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,513,FP32,256,2,20,100,5,4.88448,4.88448,4.99098,0.053248,0.420106,2,2,1024,-7.3206,-7.3206,2.04593e-07,8.20328e-10,0.00125702
c9e2667,2026-08-23T17:58:57Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1023,FP32,256,4,20,100,5,5.31456,5.3248,5.33504,0.00766297,0.76848,4,2,1024,2.193,2.193,1.04594e-06,2.05254e-09,0.00255791
c9e2667,2026-08-23T17:58:57Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,1023,FP32,256,4,20,100,5,4.8128,4.83328,4.8599,0.016638,0.84663,4,2,1024,2.193,2.193,9.22664e-08,1.81063e-10,0.00255791
c9e2667,2026-08-23T17:58:57Z,NVIDIA GeForce RTX 3090,13.2,12.4,first_add_v2,1023,FP32,256,2,20,100,5,4.32128,4.352,4.37043,0.0176175,0.940257,2,2,1024,2.193,2.193,8.61408e-07,1.69042e-09,0.00255791
c9e2667,2026-08-23T17:58:58Z,NVIDIA GeForce RTX 3090,13.2,12.4,warp_shuffle_v3,1023,FP32,256,2,20,100,5,4.89472,4.89472,4.95206,0.028672,0.836003,2,2,1024,2.193,2.193,8.61408e-07,1.69042e-09,0.00255791
c9e2667,2026-08-23T17:58:58Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1024,FP32,256,4,20,100,5,5.3248,5.34528,5.38624,0.0238835,0.766284,4,2,1024,2.8429,2.8429,1.46317e-06,2.86766e-09,0.00256116
c9e2667,2026-08-23T17:58:58Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,1024,FP32,256,4,20,100,5,4.75136,4.7616,4.80461,0.0214796,0.860215,4,2,1024,2.8429,2.8429,5.09499e-07,9.98562e-10,0.00256116
