git_commit,timestamp,gpu_name,driver_version,cuda_version,kernel_name,shape,dtype,grid,block,warmup_count,iteration_count,group_count,min_us,median_us,p95_us,stddev_us,effective_bandwidth_gbps,relative_copy_percent,relative_naive_speedup,max_abs_error,relative_error
22b4350,2026-08-23T12:29:36Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,1024x8192,FP32,32x256,32x8,20,100,5,82.8314,82.8518,82.8703,0.0144823,809.986,100,3.1388,0,0
22b4350,2026-08-23T12:29:36Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,1024x8192,FP32,32x256,32x8,20,100,5,230.973,260.055,260.09,13.2502,258.056,31.8593,1,0,0
22b4350,2026-08-23T12:29:36Z,NVIDIA GeForce RTX 3090,13.2,12.4,tiled_v2,1024x8192,FP32,32x256,32x8,20,100,5,83.9066,83.968,84.0335,0.0467011,799.22,98.6707,3.09707,0,0
22b4350,2026-08-23T12:29:36Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,8192x1024,FP32,256x32,32x8,20,100,5,82.4013,82.4627,82.4811,0.031463,813.809,100,2.76021,0,0
22b4350,2026-08-23T12:29:36Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,8192x1024,FP32,256x32,32x8,20,100,5,227.584,227.615,227.615,0.0119447,294.835,36.2291,1,0,0
22b4350,2026-08-23T12:29:36Z,NVIDIA GeForce RTX 3090,13.2,12.4,tiled_v2,8192x1024,FP32,256x32,32x8,20,100,5,85.248,85.3094,85.3381,0.0397105,786.652,96.6631,2.66811,0,0
22b4350,2026-08-23T12:29:38Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,4096x4096,FP32,128x128,32x8,20,100,5,161.157,161.208,161.243,0.033868,832.573,100,2.81141,0,0
22b4350,2026-08-23T12:29:38Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,4096x4096,FP32,128x128,32x8,20,100,5,452.444,453.222,453.935,0.520958,296.141,35.5694,1,0,0
22b4350,2026-08-23T12:29:38Z,NVIDIA GeForce RTX 3090,13.2,12.4,tiled_v2,4096x4096,FP32,128x128,32x8,20,100,5,168.294,168.356,168.385,0.0327685,797.226,95.7545,2.69205,0,0
22b4350,2026-08-23T12:29:38Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,4097x3073,FP32,129x97,32x8,20,100,5,121.272,121.292,121.324,0.0230273,830.399,100,2.94194,0,0
22b4350,2026-08-23T12:29:38Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,4097x3073,FP32,129x97,32x8,20,100,5,356.772,356.833,356.919,0.0534064,282.262,33.9912,1,0,0
22b4350,2026-08-23T12:29:38Z,NVIDIA GeForce RTX 3090,13.2,12.4,tiled_v2,4097x3073,FP32,129x97,32x8,20,100,5,130.949,131.031,131.152,0.0847906,768.678,92.5673,2.72327,0,0
