git_commit,timestamp,gpu_name,cuda_driver_api_version,cuda_runtime_version,kernel_name,n,dtype,block,first_stage_grid,warmup_count,iteration_count,group_count,min_us,median_us,p95_us,stddev_us,lower_bound_bandwidth_gbps,first_stage_partial_count,kernel_launch_count,static_shared_memory_bytes,gpu_result,cpu_double_reference,max_abs_error,normalized_error,tolerance
bdea4f9,2026-08-23T17:25:16Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,1,FP32,256,1,20,100,5,2.95936,2.9696,3.14368,0.0862595,0.00134698,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
bdea4f9,2026-08-23T17:25:16Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,1,FP32,256,1,20,100,5,2.41664,2.43712,2.45555,0.0144815,0.00164128,1,1,1024,-0.5481,-0.5481,0,0,1.27405e-05
bdea4f9,2026-08-23T17:25:17Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,31,FP32,256,1,20,100,5,2.97984,2.99008,2.99827,0.0064763,0.0414705,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
bdea4f9,2026-08-23T17:25:17Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,31,FP32,256,1,20,100,5,2.38592,2.4064,2.43098,0.0171348,0.0515293,1,1,1024,2.9724,2.9724,2.57045e-07,1.79483e-08,8.1607e-05
bdea4f9,2026-08-23T17:25:17Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,32,FP32,256,1,20,100,5,2.95936,2.9696,2.97779,0.00766297,0.0431034,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
bdea4f9,2026-08-23T17:25:17Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,32,FP32,256,1,20,100,5,2.38592,2.4064,2.45555,0.0300993,0.0531915,1,1,1024,2.174,2.174,1.9744e-07,1.30584e-08,8.5599e-05
bdea4f9,2026-08-23T17:25:18Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,33,FP32,256,1,20,100,5,2.97984,2.99008,3.04947,0.0293943,0.044146,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
bdea4f9,2026-08-23T17:25:18Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,33,FP32,256,1,20,100,5,2.38592,2.39616,2.4064,0.00766291,0.0550881,1,1,1024,2.037,2.037,2.86847e-07,1.88013e-08,8.6284e-05
bdea4f9,2026-08-23T17:25:18Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,255,FP32,256,1,20,100,5,2.87744,2.87744,2.88563,0.00409603,0.354482,1,1,1024,2.6085,2.6085,1.75278e-08,1.42917e-10,0.000623214
bdea4f9,2026-08-23T17:25:18Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,255,FP32,256,1,20,100,5,2.36544,2.39616,2.39616,0.0150497,0.425681,1,1,1024,2.6085,2.6085,4.59309e-07,3.7451e-09,0.000623214
bdea4f9,2026-08-23T17:25:19Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,256,FP32,256,1,20,100,5,2.8672,2.87744,2.88768,0.00766288,0.355872,1,1,1024,3.2473,3.2473,6.13574e-07,4.97701e-09,0.000626408
bdea4f9,2026-08-23T17:25:19Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,256,FP32,256,1,20,100,5,2.38592,2.4064,2.49242,0.0441153,0.425532,1,1,1024,3.2473,3.2473,3.401e-07,2.75872e-09,0.000626408
bdea4f9,2026-08-23T17:25:19Z,NVIDIA GeForce RTX 3090,13.2,12.4,interleaved_v0,257,FP32,256,2,20,100,5,5.6832,5.71392,5.72211,0.0150498,0.179912,2,2,1024,3.5153,3.5153,7.32784e-07,5.93108e-09,0.000627748
bdea4f9,2026-08-23T17:25:20Z,NVIDIA GeForce RTX 3090,13.2,12.4,sequential_v1,257,FP32,256,2,20,100,5,4.74112,5.0688,5.51526,0.306352,0.202809,2,2,1024,3.5153,3.5153,2.20891e-07,1.78787e-09,0.000627748
