git_commit,timestamp,gpu_name,cuda_driver_api_version,cuda_runtime_version,pipeline_name,host_memory_type,copy_api,kernel_name,width,height,dtype,grid_x,grid_y,block_x,block_y,stream_count,chunk_count,chunk_bytes,chunk_mib,total_payload_bytes,accounted_traffic_bytes,device_overlap,async_engine_count,concurrent_kernels,warmup_count,iteration_count,group_count,cpu_submit_min_us,cpu_submit_median_us,cpu_submit_p95_us,cpu_submit_stddev_us,gpu_span_min_us,gpu_span_median_us,gpu_span_p95_us,gpu_span_stddev_us,end_to_end_min_us,end_to_end_median_us,end_to_end_p95_us,end_to_end_stddev_us,payload_throughput_gbps,accounted_traffic_rate_gbps,speedup_vs_pinned_sync,bitwise_correct
60143eb,2026-08-23T19:06:46Z,NVIDIA GeForce RTX 3090,13.2,12.4,pageable_sync_v0,Pageable,cudaMemcpy,stream_padded_transpose_kernel,4096,512,FP32,128,16,32,8,1,64,8388608,8,536870912,2147483648,1,2,1,20,100,5,116058.18685,117085.41426999999,124523.70647199999,3694.5503644310311,116058.125,117087.626953125,124528.86328125,3696.2923748984085,116058.38943,117085.59460000001,124523.909776,3694.5561387052976,4.5852857803226286,18.341143121290514,nan,true
60143eb,2026-08-23T19:07:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,pageable_sync_v0,Pageable,cudaMemcpy,stream_padded_transpose_kernel,4096,2048,FP32,128,64,32,8,1,16,33554432,32,536870912,2147483648,1,2,1,20,100,5,112566.76138,113447.44237999999,121710.68229600001,4022.5611668510383,112562.5,113444.482421875,121709.1328125,4023.4292026566068,112566.89314999999,113447.64477,121710.86367800001,4022.5608532493966,4.7323231177556337,18.929292471022535,nan,true
60143eb,2026-08-23T19:08:50Z,NVIDIA GeForce RTX 3090,13.2,12.4,pageable_sync_v0,Pageable,cudaMemcpy,stream_padded_transpose_kernel,4096,4096,FP32,128,128,32,8,1,8,67108864,64,536870912,2147483648,1,2,1,20,100,5,110783.87619000001,111083.8594,118048.12574,3171.21316819105,110777.548828125,111077.91015625,118042.810546875,3171.6656279552349,110784.01862,111084.05499,118048.33306599999,3171.2268081618099,4.8330150717700224,19.33206028708009,nan,true
