git_commit,timestamp,gpu_name,driver_version,cuda_version,kernel_name,shape,dtype,grid,block,warmup_count,iteration_count,group_count,min_us,median_us,p95_us,stddev_us,effective_bandwidth_gbps,relative_copy_percent,relative_naive_speedup,max_abs_error,relative_error
efce964,2026-08-23T12:17:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,1024x8192,FP32,32x256,32x8,20,100,5,82.7802,82.8006,82.8211,0.0153438,810.487,100,3.14123,0,0
efce964,2026-08-23T12:17:49Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,1024x8192,FP32,32x256,32x8,20,100,5,260.024,260.096,260.114,0.0334015,258.016,31.8346,1,0,0
efce964,2026-08-23T12:17:50Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,8192x1024,FP32,256x32,32x8,20,100,5,82.4006,82.4208,82.4812,0.0325664,814.222,100,2.75044,0,0
efce964,2026-08-23T12:17:50Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,8192x1024,FP32,256x32,32x8,20,100,5,226.673,226.693,226.761,0.0362897,296.034,36.3579,1,0,0
efce964,2026-08-23T12:17:51Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,4096x4096,FP32,128x128,32x8,20,100,5,161.106,161.126,161.18,0.0306524,832.996,100,2.81042,0,0
efce964,2026-08-23T12:17:51Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,4096x4096,FP32,128x128,32x8,20,100,5,450.222,452.833,452.94,1.04031,296.395,35.5818,1,0,0
efce964,2026-08-23T12:17:52Z,NVIDIA GeForce RTX 3090,13.2,12.4,copy_v0,4097x3073,FP32,129x97,32x8,20,100,5,121.283,121.324,121.324,0.0158639,830.182,100,2.93358,0,0
efce964,2026-08-23T12:17:52Z,NVIDIA GeForce RTX 3090,13.2,12.4,naive_v1,4097x3073,FP32,129x97,32x8,20,100,5,355.85,355.912,355.944,0.0327625,282.993,34.0881,1,0,0
