Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
99.5,309943,1,309943.0,309943.0,309943,309943,0.0,[CUDA memcpy Host-to-Device]
0.5,1631,1,1631.0,1631.0,1631,1631,0.0,[CUDA memcpy Device-to-Host]
