Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
99.5,301001,1,301001.0,301001.0,301001,301001,0.0,[CUDA memcpy Host-to-Device]
0.5,1632,1,1632.0,1632.0,1632,1632,0.0,[CUDA memcpy Device-to-Host]
