Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
50.2,21395250,16,1337203.1,1336331.5,1332267,1349707,4038.9,[CUDA memcpy Device-to-Host]
49.8,21192978,16,1324561.1,1324475.0,1324108,1325963,446.0,[CUDA memcpy Host-to-Device]
