Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
99.4,293197,1,293197.0,293197.0,293197,293197,0.0,[CUDA memcpy Host-to-Device]
0.6,1634,1,1634.0,1634.0,1634,1634,0.0,[CUDA memcpy Device-to-Host]
