Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
53.8,7232907,1,7232907.0,7232907.0,7232907,7232907,0.0,[CUDA memcpy Device-to-Host]
46.2,6201070,1,6201070.0,6201070.0,6201070,6201070,0.0,[CUDA memcpy Host-to-Device]
